projects_id,project_title,project_description,technology_stack,domain,skills_required,difficulty_level,prerequisties,project_type,duration,tags,reference_link,resource_link,user_ratings_avg
P001,Customer Segmentation using K-Means Clustering,"This project uses unsupervised learning to divide a customer base into segments, helping businesses target marketing strategies more effectively using K-Means clustering.","Python, Scikit-learn, Pandas, Matplotlib",Datascience,"K-Means, Clustering",Intermediate,"Basic Statistics, Python",Implementation,2 months,"Clustering, Data Science",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=%22Customer+Segmentation+using+K-Means+Clustering%22&btnG=,https://github.com/NelakurthiSudheer/Mall-Customers-Segmentation,4.5/5
P002,House Price Prediction Model,"This project uses regression algorithms to predict the price of a house based on features such as square footage, location, and other factors using a dataset like Boston Housing.","Python, Scikit-learn, Pandas, Matplotlib",Datascience,"Linear Regression, Data Preprocessing",Intermediate,"Linear Algebra, Python",Implementation,3 months,"Regression, Real Estate",https://scholar.google.com/scholar?hl=en&as_sdt=05&q=House+Price+Prediction+Model+USING+Data+Science,https://github.com/MYoussef885/House_Price_Prediction,4.2/5
P003,Sentiment Analysis on Social Media Posts,"This project processes social media posts to analyze sentiments using natural language processing (NLP) techniques, helping businesses understand public opinion on products or services.","Python, NLTK, Scikit-learn",Datascience,"Sentiment Analysis, NLP",Intermediate,"Python, Basic NLP",Research,2 months,"Sentiment Analysis, NLP",https://scholar.google.com/scholar?hl=en&as_sdt=0_5&q=Sentiment+Analysis+on+Social+Media+Posts+using+data+science,https://github.com/vijit-kala/Social-Media-Sentiment-Analysis-Using-Machine-Learning,4.8/5
P004,Stock Market Price Prediction using LSTM,"This project uses long short-term memory (LSTM) networks to predict future stock prices by learning from historical stock price data, helping investors make informed decisions.","Python, TensorFlow, Keras, LSTM",Datascience,"Time Series, LSTM, Deep Learning",Advanced,"Time Series, Python",Research,4 months,"LSTM, Stock Market",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Stock+Market+Price+Prediction+using+LSTM&btnG=,https://github.com/034adarsh/Stock-Price-Prediction-Using-LSTM,4.6/5
P005,Image Classification using Convolutional Neural Networks,"This project builds an image classifier using convolutional neural networks (CNNs) to classify images into categories, commonly used in computer vision applications.","Python, Keras, TensorFlow, OpenCV",Datascience,"CNN, Image Processing",Advanced,"Machine Learning Basics, Python",Implementation,3 months,"CNN, Computer Vision",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Image+Classification+using+Convolutional+Neural+Networks&btnG=,https://github.com/anubhavparas/image-classification-using-cnn,4.3/5
P006,Recommendation System using Collaborative Filtering,"This project develops a recommendation system for e-commerce or media platforms, providing personalized suggestions based on collaborative filtering techniques.","Python, Scikit-learn, Pandas, Surprise",Datascience,"Collaborative Filtering, Matrix Factorization",Intermediate,"Python, Basic ML",Implementation,2 months,"Recommendation, Machine Learning",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Recommendation+System+using+Collaborative+Filtering&btnG=,https://github.com/pratiknabriya/Recommender-System-Collaborative-Filtering-MovieLens,4.7/5
P007,Churn Prediction for Telecom Customers,This project uses machine learning algorithms to predict whether a customer is likely to churn (leave the service) based on their usage and behavior patterns in the telecom industry.,"Python, Scikit-learn, Pandas, Matplotlib",Datascience,"Logistic Regression, Classification",Intermediate,"Statistics, Python",Implementation,2 months,"Churn Prediction, Telecom",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Churn+Prediction+for+Telecom+Customers&btnG=,https://github.com/ChaitanyaC22/Telecom-Churn-Prediction,4.0/5
P008,Data Cleaning and Feature Engineering for ML Models,"This project explores the process of preparing raw data for machine learning models, focusing on techniques like handling missing values, encoding categorical variables, and feature scaling.","Python, Pandas, Scikit-learn",Datascience,"Data Cleaning, Feature Engineering",Beginner,"Python, ML Basics",Implementation,1 months,"Data Preprocessing, ML",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Data+Cleaning+and+Feature+Engineering+for+ML+Models&btnG=,https://github.com/ashishpatel26/Amazing-Feature-Engineering,4.4/5
P009,Time Series Forecasting with ARIMA,"This project uses ARIMA models to predict future values in time series data, such as predicting sales or stock prices, helping businesses with forecasting.","Python, Statsmodels, Pandas",Datascience,"Time Series, ARIMA",Intermediate,"Statistics, Python",Research,3 months,"Time Series, Forecasting",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Time+Series+Forecasting+with+ARIMA&btnG=,https://github.com/microsoft/ML-For-Beginners/blob/main/7-TimeSeries/2-ARIMA/README.md,4.2/5
P010,Clustering Analysis of Customer Behavior,"This project uses clustering algorithms to group customers based on purchasing habits, providing insights for targeted marketing strategies.","Python, Scikit-learn, Pandas, Matplotlib",Datascience,"Clustering, Data Mining",Intermediate,"Data Analysis, Python",Implementation,2 months,"Clustering, Customer Behavior",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Clustering+Analysis+of+Customer+Behavior&btnG=,https://github.com/rnurgulmez/Customer-Behavior-Clustering,4.1/5
P011,Natural Language Processing for Text Classification,"This project involves classifying text data into categories, using machine learning models for NLP tasks like spam detection or sentiment analysis.","Python, NLTK, Scikit-learn, TensorFlow",Datascience,"Text Classification, NLP",Advanced,"Python, Text Processing",Implementation,2 months,"NLP, Text Classification",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Natural+Language+Processing+for+Text+Classification&btnG=,https://github.com/vijayaiitk/NLP-text-classification-model,4.3/5
P012,Predicting Loan Default with Machine Learning,This project develops a model to predict whether a loan applicant will default or repay based on their financial history using classification techniques.,"Python, Scikit-learn, Pandas",Datascience,"Logistic Regression, ML",Intermediate,"Statistics, Python",Implementation,2 months,"Loan Prediction, Machine Learning",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Predicting+Loan+Default+with+Machine+Learning&btnG=,https://github.com/suhasmaddali/Predicting-Loan-Default-Using-Machine-Learning,4.6/5
P013,Market Basket Analysis with Apriori Algorithm,"This project applies the Apriori algorithm for market basket analysis, finding frequent itemsets and association rules that help businesses understand customer purchase patterns.","Python, Mlxtend, Pandas",Datascience,"Market Basket Analysis, Association Rules",Beginner,"Python, Data Mining",Implementation,2 months,"Apriori, Market Basket",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Market+Basket+Analysis+with+Apriori+Algorithm&btnG=,https://github.com/MohdTalib0/Market-Basket-Analysis-in-Python-using-Apriori-Algorithm,4.5/5
P014,AI-Powered Resume Screening System,This project automates the resume screening process by classifying resumes based on job requirements using NLP and machine learning algorithms.,"Python, NLTK, Scikit-learn",Datascience,"NLP, Machine Learning",Intermediate,"AI, HR Basics",Research,3 months,"Resume Screening, AI",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=AI-Powered+Resume+Screening+System&btnG=,https://github.com/BorHan-U/An-AI-Based-Resume-Screening-For-Job-Recruitment,4.7/5
P015,Health Risk Prediction from Patient Data,"This project uses machine learning models to predict health risks, such as diabetes or heart disease, based on a dataset of patient medical history and lifestyle data.","Python, Scikit-learn, Pandas, Matplotlib",Datascience,"Machine Learning, Health Data",Intermediate,"Medical Data, Python",Research,4 months,"Health Prediction, ML",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Health+Risk+Prediction+from+Patient+Data&btnG=,https://github.com/microsoft/Machine-Learning-Patient-Risk-Analyzer-SA,4.4/5
P016,Traffic Flow Prediction using Regression,"This project develops a model to predict traffic flow using regression techniques, helping optimize traffic management and reduce congestion.","Python, Scikit-learn, Pandas, Matplotlib",Datascience,"Regression, Data Analysis",Intermediate,"Statistics, Python",Implementation,2 months,"Traffic Prediction, ML",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Traffic+Flow+Prediction+using+Regression&btnG=,https://github.com/thenomaniqbal/Traffic-flow-prediction/blob/master/Traffic_prediction.ipynb,4.2/5
P017,Fake News Detection using NLP,"This project uses natural language processing to analyze news articles and classify them as real or fake, helping combat misinformation.","Python, NLTK, Scikit-learn, TensorFlow",Datascience,"Text Classification, NLP",Advanced,"NLP, Data Mining",Research,2 months,"Fake News, NLP",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=%22Fake+News+Detection+using+NLP&btnG=,https://github.com/vijaisuria/Fake-News-Detective,4.5/5
P018,AI Chatbot for Customer Service,This project focuses on building an AI-driven chatbot using Natural Language Processing (NLP) to provide automated customer support. The objective is to enhance service quality by using machine learning algorithms.,"Python, NLTK, TensorFlow",Artificial Intelligence,"NLP, Chatbots, Deep Learning",Intermediate,"Python, Basic AI",Implementation,3 months,"Chatbot, Customer Service",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=AI+Chatbot+for+Customer+Service%22&btnG=,https://github.com/titi-devv/Exclusible-AI-Customer-Support,4.6/5
P019,AI-based Image Captioning,This AI project develops a system that generates captions for images. It uses Convolutional Neural Networks (CNNs) for image analysis and Recurrent Neural Networks (RNNs) for text generation.,"Python, Keras, TensorFlow",Artificial Intelligence,"Image Processing, NLP",Advanced,"Deep Learning, Computer Vision",Research,4 months,"Image Captioning, AI",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=AI-based+Image+Captioning&btnG=,https://github.com/Arbazkhan-cs/AI-Powered-Image-Captioning,4.7/5
P020,Facial Emotion Recognition System,"The project builds a system that can detect emotions like happiness, sadness, anger, etc., from facial expressions using a combination of deep learning and computer vision techniques.","Python, OpenCV, Keras, TensorFlow",Artificial Intelligence,"Computer Vision, Deep Learning",Intermediate,"Image Processing, Python",Implementation,3 months,"Emotion Recognition, AI",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Facial+Emotion+Recognition+System+using+AI&btnG=,https://github.com/atulapra/Emotion-detection,4.5/5
P021,AI-Powered Spam Email Classifier,This project develops an AI model to classify emails as spam or not spam using machine learning algorithms like Naive Bayes or SVM. It focuses on text analysis and feature extraction from email contents.,"Python, Scikit-learn, NLTK",Artificial Intelligence,"NLP, Machine Learning",Beginner,"Python, Data Preprocessing",Implementation,2 months,"Spam Detection, Email",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=AI-Powered+Spam+Email+Classifier&btnG=,https://github.com/PuruSinghvi/Spam-Email-Classifier,4.8/5
P022,AI-Driven Personal Assistant,"This project involves creating an AI-driven assistant that can schedule tasks, send emails, and interact with users using voice commands, leveraging speech recognition and NLP techniques.","Python, TensorFlow, Speech Recognition",Artificial Intelligence,"NLP, Voice Recognition",Advanced,"AI, Python, NLP",Implementation,4 months,"Personal Assistant, AI",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=AI-Driven+Personal+Assistant&btnG=HB,https://github.com/shivam1808/AI-based-Virtual-Assistant,4.6/5
P023,AI-based Disease Diagnosis System,"The objective of this project is to create an AI system that can analyze medical images (e.g., X-rays, MRI scans) to diagnose diseases like pneumonia or cancer using deep learning techniques.","Python, Keras, OpenCV, TensorFlow",Artificial Intelligence,"Machine Learning, Medical Data",Intermediate,"Medical Data, AI",Research,5 months,"Disease Diagnosis, AI",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=%22AI-based+Disease+Diagnosis+System%22&btnG=,https://github.com/picoders1/AI-based-Healthcare-Chatbot-and-Disease-Detection-System/blob/main/README.md,4.7/5
P024,Recommendation System for E-commerce,"This project builds a personalized recommendation system for e-commerce platforms, recommending products based on user preferences and previous purchase history using collaborative filtering techniques.","Python, Scikit-learn, TensorFlow",Artificial Intelligence,"Collaborative Filtering, ML",Intermediate,"E-commerce, Python",Implementation,3 months,"Recommendation, E-commerce",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Recommendation+System+for+E-commerce&btnG=,https://github.com/Vaibhav67979/Ecommerce-product-recommendation-system,4.6/5
P025,AI-Based Traffic Signal Control System,This project aims to improve urban traffic flow by implementing an AI-driven system that adjusts traffic signal timings based on real-time traffic data using reinforcement learning.,"Python, TensorFlow, Reinforcement Learning",Artificial Intelligence,"Traffic Control, Deep Learning",Intermediate,"AI, Traffic Management",Research,4 months,"Traffic Control, AI",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=%22AI-Based+Traffic+Signal+Control+System%22&btnG=,https://github.com/Natnael-k/AI-based-Traffic-Control-System--,4.5/5
P026,Handwritten Digit Recognition System,The goal of this project is to recognize handwritten digits from images using machine learning algorithms and deep learning models like CNN. It is based on datasets like MNIST.,"Python, Scikit-learn, Keras, TensorFlow",Artificial Intelligence,"Deep Learning, CNN",Beginner,Machine Learning Basics,Implementation,2 months,"Digit Recognition, AI",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=%22Handwritten+Digit+Recognition+System%22&btnG=,https://github.com/aakashjhawar/handwritten-digit-recognition,4.8/5
P027,AI-based Fraud Detection in Banking,This project builds a fraud detection system for banking applications using machine learning algorithms to analyze transaction patterns and detect anomalies that may indicate fraudulent activity.,"Python, Scikit-learn, TensorFlow",Artificial Intelligence,"Fraud Detection, ML",Advanced,"Financial Data, Python",Implementation,3 months,"Fraud Detection, Banking",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=%22AI-based+Fraud+Detection+in+Banking%22&btnG=,https://github.com/Tek-nr/AI-Based-Fraud-Detection,4.6/5
P028,AI-powered Virtual Assistant for Education,"This project involves creating an AI-powered virtual assistant for students, which can recommend learning resources, answer academic questions, and manage schedules using NLP and machine learning.","Python, NLP, TensorFlow",Artificial Intelligence,"NLP, Virtual Assistant",Intermediate,"AI, Education",Implementation,4 months,"Education, Virtual Assistant",https://www.irjmets.com/uploadedfiles/paper/issue_3_march_2023/35205/final/fin_irjmets1680623931.pdf,https://github.com/KayvanShah1/VirtuTA,4.7/5
P029,AI-based Voice Recognition System,This project builds a voice recognition system using machine learning and speech recognition techniques. The goal is to process voice commands and classify them into predefined categories.,"Python, SpeechRecognition, TensorFlow",Artificial Intelligence,"Voice Recognition, NLP",Intermediate,"NLP, Audio Processing",Research,3 months,"Voice Recognition, AI",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=%22AI-based+Voice+Recognition+System&btnG=,https://github.com/openai/whisper,4.6/5
P030,AI-Driven Financial Market Prediction,This project involves using deep learning techniques like LSTM networks to predict stock market trends and prices based on historical data. The objective is to provide insights for investors in the financial market.,"Python, TensorFlow, Keras, LSTM",Artificial Intelligence,"Time Series, Deep Learning",Advanced,"Finance, Deep Learning",Research,4 months,"Financial Market, AI",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=%22AI-Driven+Financial+Market+Prediction%22&btnG=,https://github.com/llSourcell/AI_in_Finance/blob/master/Market%20Prediction.ipynb,4.8/5
P031,AI-based Automated Essay Scoring,"This project creates a system to automatically grade essays by analyzing their content, grammar, structure, and coherence. The system uses NLP and machine learning algorithms to evaluate the quality of the essay.","Python, NLTK, Scikit-learn",Artificial Intelligence,"Finance, Deep Learning",Intermediate,"AI, NLP",Implementation,2 months,"Essay Grading, AI",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=AI-based+Automated+Essay+Scoring&btnG=,https://github.com/sankalpjain99/Automatic-Essay-Scoring,4.4/5
P032,AI-based Social Media Sentiment Analysis,"This project analyzes sentiments (positive, negative, neutral) in social media posts using NLP and machine learning. It helps businesses gauge public opinion and understand consumer behavior.","Python, NLTK, Scikit-learn, TensorFlow",Artificial Intelligence,"AI, NLP",Intermediate,"Social Media, Python",Implementation,3 months,"Sentiment Analysis, AI",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=AI-based+Social+Media+Sentiment+Analysis&btnG=,https://github.com/11Shraddha/SentimentAnalysis_NLP,4.5/5
P033,Fraud Detection in Financial Transactions,Detect fraudulent transactions using ML models.,"Python, Scikit-Learn, TensorFlow",Machine Learning,"Data Analysis, Fraud Detection",Advanced,"Python, ML Basics",Research-Based,6 months,"fraud detection, transactions, ML",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Fraud+Detection+in+Financial+Transactions+&btnG=,https://github.com/juniorcl/transaction-fraud-detection,4.5/5
P034,Movie Recommendation System,Build a recommendation system to suggest movies based on user preferences.,"Python, Pandas, Scikit-Learn",Machine Learning,"Recommendation Systems, ML",Intermediate,"Python, ML Basics",Implementation,2 months,"recommendation, movies, user-based",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Movie+Recommendation+System&btnG=,https://github.com/entbappy/Movie-Recommender-System-Using-Machine-Learning,4.2/5
P035,Sentiment Analysis of Social Media Posts,"Analyze the sentiment (positive, negative, neutral) of social media posts using NLP.","Python, NLP, TensorFlow",Machine Learning,"NLP, Text Analysis, ML",Intermediate,"Python, NLP Basics",Research-Based,5 months,"sentiment, social media, NLP",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Sentiment+Analysis+of+Social+Media+Posts&btnG=,https://github.com/vijit-kala/Social-Media-Sentiment-Analysis-Using-Machine-Learning,4.3/5
P036,Handwritten Digit Recognition,Recognize handwritten digits using a neural network model.,"Python, TensorFlow, OpenCV",Machine Learning,"Deep Learning, Image Processing",Intermediate,"Python, Neural Networks",Implementation,4 months,"digit recognition, handwritten, ML",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=handwritten+digit+recognition+using+machine+learning&oq=Handwritten+Digit+Recognition+,https://github.com/aakashjhawar/handwritten-digit-recognition,4.4/5
P037,Stock Price Prediction Using ML,Predict future stock prices based on historical data using ML models.,"Python, Pandas, Scikit-Learn",Machine Learning,"Time Series, ML, Finance",Advanced,"Python, ML Basics, Finance",Research-Based,4 months,"stock prediction, finance, ML",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Stock+Price+Prediction+Using+Machine+Learning&btnG=,https://github.com/Vatshayan/Final-Year-Machine-Learning-Stock-Price-Prediction-Project,4.6/5
P038,Speech Emotion Recognition,Identify emotions from speech using deep learning models.,"Python, TensorFlow, Librosa",Machine Learning,"Deep Learning, Audio Processing",Advanced,"Python, Audio Processing",Research-Based,3 months,"speech recognition, emotions, ML",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Speech+Emotion+Recognition+Using+Machine+Learning&btnG=,https://github.com/MeidanGR/SpeechEmotionRecognition_Realtime,4.5/5
P039,Breast Cancer Prediction,Predict breast cancer risk using ML classification models.,"Python, Scikit-Learn, Pandas",Machine Learning,"Classification, Data Analysis",Intermediate,"Python, ML Basics, Healthcare",Implementation,3 months,"cancer prediction, healthcare, ML",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Breast+Cancer+Prediction+using+Machine+Learning&btnG=,https://github.com/gscdit/Breast-Cancer-Detection,4.7/5
P040,Fake News Detection,Detect whether a news article is fake or real using NLP.,"Python, NLP, Scikit-Learn",Machine Learning,"NLP, Text Classification",Intermediate,"Python, NLP Basics",Implementation,4 months,"fake news, classification, ML",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Fake+News+Detection+using+Machine+Learning&btnG=,https://github.com/kapilsinghnegi/Fake-News-Detection,4.4/5
P041,Crop Yield Prediction,Predict the yield of crops based on soil and weather conditions.,"Python, Scikit-Learn, Pandas",Machine Learning,"Data Analysis, Agriculture",Intermediate,"Python, ML Basics, Agriculture",Research-Based,3 months,"crop prediction, agriculture, ML",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Crop+Yield+Prediction+using+Machine+Learning&btnG=,https://github.com/ankitaS11/Crop-Yield-Prediction-in-India-using-ML,4.3/5
P042,Customer Churn Prediction,Predict customer churn for businesses using ML models.,"Python, Scikit-Learn, Pandas",Machine Learning,"Classification, Business Analytics",Intermediate,"Python, ML Basics, Business",Research-Based,4 months,"customer churn, business, ML",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Customer+Churn+Prediction+using+Machine+Learning&btnG=,https://github.com/Sameer-ansarii/Customer-Churn-Prediction,4.5/5
P043,Traffic Sign Recognition,Identify and classify traffic signs using a deep learning model.,"Python, TensorFlow, OpenCV",Machine Learning,"Deep Learning, Image Processing",Advanced,"Python, CNN Basics",Implementation,4 months,"traffic signs, image recognition, ML",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Traffic+Sign+Recognition+using+Machine+Learning&btnG=,https://github.com/hoanglehaithanh/Traffic-Sign-Detection,4.6/5
P044,Diabetes Prediction,Predict the likelihood of diabetes using patient data and ML classification models.,"Python, Scikit-Learn, Pandas",Machine Learning,"Classification, Healthcare",Intermediate,"Python, ML Basics, Healthcare",Implementation,3 months,"diabetes prediction, healthcare, ML",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Diabetes+Prediction+using+Machine+Learning&btnG=,https://github.com/Aditya-Mankar/Diabetes-Prediction,4.5/5
P045,House Price Prediction,"Predict house prices based on features like location, size, and market trends.","Python, Scikit-Learn, Pandas",Machine Learning,"Regression, Real Estate",Intermediate,"Python, ML Basics, Real Estate",Implementation,4 months,"house price, real estate, ML",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=House+Price+Prediction+using+Machine+Learning&btnG=,https://github.com/MYoussef885/House_Price_Prediction,4.7/5
