projects_id,project_title,project_description,technology_stack,domain,skills_required,difficulty_level,prerequisties,project_type,duration,tags,reference_link,resource_link,user_ratings_avg
P046,Loan Default Prediction,Predict whether a loan applicant will default based on financial history and ML models.,"Python, Scikit-Learn, Pandas",Machine Learning,"Classification, Finance",Advanced,"Python, ML Basics, Finance",Research-Based,3 months,"loan default, finance, ML",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Loan+Default+Prediction+using+Machine+Learning&btnG=,https://github.com/danieljordan2/Loan-default-prediction,4.6/5
P047,Autonomous Vehicle Path Planning,Develop an AI model for autonomous vehicles to plan optimal driving paths.,"Python, Deep Learning, ROS",Machine Learning,"Deep Learning, Robotics",Advanced,"Python, Reinforcement Learning",Research-Based,4 months,"autonomous vehicle, robotics, ML",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Autonomous+Vehicle+Path+Planning+using+Machine+Learning&btnG=,https://github.com/zhm-real/MotionPlanning,4.8/5
P048,Personal Portfolio Website,"A website showcasing personal details, skills, and projects.","HTML, CSS, JavaScript",Web Development,"HTML, CSS, Responsive Design",Beginner,Basic HTML & CSS,Implementation,1 month,"Portfolio, Webpage",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Personal+Portfolio+Website&btnG=,https://github.com/codewithsadee/portfolio,4.5/5
P049,To-Do List Application,"A task management app for users to add, update, and delete tasks.","HTML, CSS, JavaScript",Web Development,"JavaScript, DOM Manipulation",Beginner,Basic JavaScript,Prototype,1 month,"Task Manager, Productivity",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=To-Do+List+Application+&btnG=,https://github.com/Lordwill1/todo-list,4.2/5
P050,Blogging Website,"A simple blogging platform where users can post, edit, and delete blog posts.","HTML, CSS, JavaScript, PHP",Web Development,Frontend & Backend Development,Intermediate,Basic Web Development,Product Development,2 months,"Blog, CMS, Content Management",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Blogging+Website&btnG=,https://github.com/kunaal438/blogging-site,4.3/5
P051,Weather App,A web app that fetches and displays weather data from an API.,"HTML, CSS, JavaScript, API",Web Development,"API Integration, JavaScript",Beginner,API knowledge,Prototype,1 month,"Weather, Forecasting",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Weather+App&btnG=,https://github.com/Prince-Shivaram/Simple-Weather-App,4.4/5
P052,E-commerce Website,"An online store with product listings, cart, and checkout.","HTML, CSS, JavaScript, PHP, MySQL",Web Development,Full-Stack Web Development,Advanced,Database Management,Product Development,3 months,"E-commerce, Online Shopping",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=E-commerce+Website&btnG=,https://github.com/lassiecoder/E-CommerceWebsite,4.6/5
P053,Online Resume Builder,A web app that helps users create and download their resumes.,"HTML, CSS, JavaScript, React.js",Web Development,"React.js, Form Handling",Intermediate,React.js basics,Implementation,2 months,"Resume, Career, CV",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Online+Resume+Builder&btnG=,https://github.com/PriontoAbdullah/Resume-Builder-Web-App,4.3/5
P054,Event Management System,"A platform for creating, managing, and registering for events.","HTML, CSS, JavaScript, Node.js, MongoDB",Web Development,"MERN Stack, Database Management",Advanced,"MongoDB, Express.js",Product Development,3 months,"Events, Registration, Scheduling",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Online+Resume+Builder&btnG=,https://github.com/GanapathySubramanian/Event-Management-System,4.5/5
P055,Chat Application,A real-time messaging app for communication.,"HTML, CSS, JavaScript, Firebase",Web Development,"WebSockets, Firebase",Intermediate,"WebSockets, Firebase",Prototype,2 months,"Chat, Messaging, Communication",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Online+Resume+Builder&btnG=,https://github.com/Rohail30/Real-Time-Chat-App,4.4/5
P056,AI-Powered Chatbot for Support,A chatbot that automates responses to customer queries.,"HTML, CSS, JavaScript, Python, NLP",Web Development,"NLP, AI, Python",Advanced,"NLP, AI Knowledge",Research-Based,4 months,"Chatbot, AI, Automation",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=AI-Powered+Chatbot+for+Support&btnG=,https://github.com/titi-devv/Exclusible-AI-Customer-Support,4.7/5
P057,Project Management Tool,"A tool for tracking tasks, deadlines, and team collaboration.","React.js, Node.js, MongoDB",Web Development,Full-Stack Web Development,Advanced,MERN Stack,Product Development,4 months,"Project Management, Task Tracking",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Project+Management+Tool&btnG=,https://github.com/shahedbd/awesome-project-management,4.6/5
P058,Online Code Editor,"A browser-based code editor supporting HTML, CSS, and JS previews.","HTML, CSS, JavaScript, WebAssembly",Web Development,"Web Development, Code Execution",Advanced,WebAssembly knowledge,Implementation,3 months,"Code Editor, Online IDE",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Online+Code+Editor&btnG=,https://github.com/inerttila/Online-Code-Editor,4.5/5
P059,AI-Based Resume Analyzer,A tool that scans resumes and provides AI-powered feedback.,"HTML, CSS, JavaScript, Python, NLP",Web Development,"NLP, Resume Parsing",Advanced,"NLP, AI, Python",Research-Based,4 months,"Resume, AI, Career",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=AI-Based+Resume+Analyzer&btnG=,https://github.com/deepakpadhi986/AI-Resume-Analyzer,4.8/5
P060,Smart Home Automation,A system to control home appliances remotely using a smartphone app.,"Arduino, MQTT, Android",Internet of Things,"Embedded Systems, Mobile App Development",Beginner,Basic electronics knowledge,Implementation,2 months,"Home Automation, IoT",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Smart-Home-Automation&btnG=,https://github.com/abhijain2472/IoT-Smart-Home-Automation,4.5/5
P061,Weather Monitoring System,A device that collects weather data and displays it on a web interface.,"Raspberry Pi, Python, DHT11",Internet of Things,"Data Collection, Web Development",Intermediate,Basic programming knowledge,Implementation,3 months,"Weather, IoT",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Weather+Monitoring+System&btnG=,https://github.com/saptajitbanerjee/AWS-IoT-Weather-Monitoring-System,4.0/5
P062,Smart Agriculture System,An IoT-based system to monitor soil moisture and automate irrigation.,"Arduino, Soil Moisture Sensor, Wi-Fi Module",Internet of Things,"Agricultural Technology, IoT",Advanced,Knowledge of sensors,Implementation,4 months,"Agriculture, IoT",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Smart+Agriculture+System&btnG=,https://github.com/ankitsagar/Smart-Agriculture,4.7/5
P063,Health Monitoring Wearable,A wearable device that tracks vital signs and sends alerts to users.,"Arduino, Heart Rate Sensor, Bluetooth",Internet of Things,"Wearable Technology, Mobile App Development",Intermediate,Basic electronics knowledge,Implementation,3 months,"Health, IoT",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Health+Monitoring+Wearable&btnG=,https://github.com/Joel-T-George/Smart-Cloth-Based-on-Wearable-Device-for-Health-Monitoring-with-IoT-Connectivity,4.6/5
P064,Smart Waste Management,A system to monitor waste levels in bins and optimize collection routes.,"Raspberry Pi, Ultrasonic Sensor, GPS",Internet of Things,"Data Analytics, IoT",Intermediate,Basic programming knowledge,Implementation,3 months,"Waste Management, IoT",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Smart-Waste-Management-System&btnG=,https://github.com/sm2312/Smart-Waste-Management-System,4.3/5
P065,Smart Traffic Management,An IoT solution to manage traffic flow and reduce congestion in urban areas.,"Arduino, Raspberry Pi, Camera Module",Internet of Things,"Traffic Management, IoT",Advanced,Knowledge of image processing,Implementation,5 months,"Traffic, IoT",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Smart+Traffic+Management&btnG=,https://github.com/iamrishav111/Smart-Traffic-Management-System,4.8/5
P066,Smart Energy Meter,A device that monitors energy consumption and provides usage statistics.,"Arduino, Current Sensor, Wi-Fi Module",Internet of Things,"Energy Management, IoT",Intermediate,Basic electronics knowledge,Implementation,2 months,"Energy, IoT",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Smart+Energy+Meter&btnG=,https://github.com/renuka-fernando/smart-meter,4.4/5
P067,Smart Pet Feeder,An automated pet feeder that dispenses food at scheduled times.,"Arduino, Servo Motor, Wi-Fi Module",Internet of Things,"Embedded Systems, IoT",Beginner,Basic electronics knowledge,Implementation,1 month,"Pets, IoT",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Smart+Pet+Feeder&btnG=,https://www.google.com/search?q=Smart+Pet+Feeder%0D%0A%0D%0A+%2Bgit+hub&sca_esv=2f601072485c5a0d&rlz=1C1CHBF_en-GBIN1109IN1109&sxsrf=AHTn8zq_aNdS_P3fiehFAQHJKHs2BElmBg%3A1737975914260&ei=amiXZ57PD5GXnesP9OX_GA&ved=0ahUKEwierP3n4JWLAxWRS2cHHfTyHwMQ4dUDCBA&uact=5&oq=Smart+Pet+Feeder%0D%0A%0D%0A+%2Bgit+hub&gs_lp=Egxnd3Mtd2l6LXNlcnAiG1NtYXJ0IFBldCBGZWVkZXIKCiArZ2l0IGh1YkgAUABYAHAAeACQAQCYAQCgAQCqAQC4AQPIAQD4AQH4AQKYAgCgAgCYAwCSBwCgBwA&sclient=gws-wiz-serp,4.2/5
P068,Remote Patient Monitoring,A system to monitor patients' health remotely and send alerts to doctors.,"Raspberry Pi, Heart Rate Sensor, Wi-Fi Module",Internet of Things,"Healthcare, IoT",Advanced,Knowledge of healthcare systems,Implementation,4 months,"Healthcare, IoT",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Smart+Pet+Feeder&btnG=,https://github.com/ndming/remote-patient-monitoring,4.9/5
P069,Smart Parking System,An IoT-based solution to find available parking spots in real-time.,"Arduino, Ultrasonic Sensor, GPS",Internet of Things,"Urban Planning, IoT",Intermediate,Basic programming knowledge,Implementation,3 months,"Parking, IoT",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Smart+Parking+System&btnG=,https://github.com/abhishekapk/SMART-PARKING-SYSTEM,4.5/5
P070,Smart Irrigation System,An automated irrigation system that optimizes water usage based on soil moisture.,"Arduino, Soil Moisture Sensor, Relay Module",Internet of Things,"Agricultural Technology, IoT",Intermediate,Basic electronics knowledge,Implementation,3 months,"Irrigation, IoT",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Smart+Irrigation+System&btnG=,https://github.com/jeroenterheerdt/HAsmartirrigation,4.6/5
P071,Smart Air Quality Monitor,A device that monitors air quality and provides real-time data to users.,"Arduino, MQ-135 Sensor, Wi-Fi Module",Internet of Things,"Environmental Monitoring, IoT",Intermediate,Basic programming knowledge,Implementation,2 months,"Air Quality, IoT",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Smart+Air+Quality+Monitor&btnG=,https://github.com/bairwa25/air_quality,4.3/5
P072,Smart Door Lock System,An IoT-enabled door lock that can be controlled remotely via a smartphone.,"Arduino, Servo Motor, Wi-Fi Module",Internet of Things,"Security Systems, IoT",Advanced,Knowledge of security protocols,Implementation,4 months,"Security, IoT",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Smart+Door+Lock+System&btnG=,https://github.com/raunakmallick18/IOT_Major_Project,4.8/5
P073,Smart Fitness Tracker,A wearable device that tracks physical activity and health metrics.,"Arduino, Accelerometer, Bluetooth",Internet of Things,"Wearable Technology, IoT",Intermediate,Basic electronics knowledge,Implementation,3 months,"Fitness, IoT",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Smart+Fitness+Tracker&btnG=,https://github.com/siddhant-vij/Health-Fitness-Tracker,4.4/5
P074,Cloud-Based File Storage System,"This project aims to create a user-friendly interface for file management in the cloud, utilizing AWS S3 for storage.","Python, Flask, AWS S3",Cloud Computing,"Python programming, Cloud Storage Basics",Beginner,Basic Python and AWS knowledge,Implementation Prototype,2 months,"file storage, cloud, AWS",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Cloud-Based+File+Storage+System&btnG=,https://github.com/PtPrashantTripathi/cloud-storage-system,Not Rated
P075,Real-Time Chat Application,This project focuses on building a scalable chat application that can handle multiple users simultaneously using cloud technologies.,"Node.js, Socket.io, MongoDB",Cloud Computing,"JavaScript, Real-Time Communication",Intermediate,Basics of Node.js and WebSockets,Product Development,3 months,"chat, communication, real-time, Node.js",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Real-Time+Chat+Application&btnG=,https://github.com/Rohail30/Real-Time-Chat-App,Not Rated
P076,Cloud-Based IoT Device Management,"This project aims to provide a centralized platform for managing IoT devices, enabling users to monitor and control devices remotely.","Python, MQTT, AWS IoT",Cloud Computing,"IoT, MQTT Protocol, Cloud Computing",Advanced,Basics of IoT protocols,Implementation Prototype,6 months,"IoT, cloud management, MQTT",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Cloud-Based+IoT+Device+Management&btnG=,https://github.com/ms-iot/iot-core-azure-dm-client,Not Rated
P077,Serverless Web Application,This project explores the benefits of serverless computing by creating a fully functional web application without managing servers.,"JavaScript, AWS Lambda, DynamoDB",Cloud Computing,"JavaScript, Serverless Computing Basics",Intermediate,Basics of serverless architecture,Product Development,4 months,"serverless, AWS Lambda, cloud",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Serverless+Web+Application&btnG=,https://github.com/yeshwanthlm/Serverless-Web-Application-on-AWS,Not Rated
P078,Cloud-Based Video Streaming Service,This project aims to build a scalable video streaming platform that can deliver high-quality content to users globally.,"Python, MQTT, AWS IoT",Cloud Computing,"IoT, MQTT Protocol, Cloud Computing",Advanced,Basics of IoT protocols,Implementation Prototype,6 months,"IoT, cloud management, MQTT",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Cloud-Based+Video+Streaming+Service&btnG=,https://github.com/hetjagani/Video-Streaming-Service,Not Rated
P079,Intrusion Detection System,Develop a system to detect unauthorized access to a network.,"Python, Scikit-learn, Snort, Wireshark",Cybersecurity,"Network Security, Machine Learning, Python",Advanced,"Basic networking, Python programming, Security fundamentals",Research,6 months,"Intrusion Detection, Network Security, Anomaly Detection",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Intrusion+Detection+System+&btnG=,https://github.com/Western-OC2-Lab/Intrusion-Detection-System-Using-Machine-Learning.git,4.6/5
P080,Phishing Email Detection,Create a tool to identify phishing emails using natural language processing.,"Python, NLTK, TensorFlow, Scikit-learn",Cybersecurity,"NLP, Machine Learning, Python",Intermediate,"Email protocols, Python basics, NLP fundamentals",Tool Development,5 months,"Phishing, Email Security, NLP",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Phishing+Email+Detection&btnG=,https://github.com/morgenm/nlp-ai-phishing.git,4.5/5
P081,Secure Chat Application,Build a secure messaging app with end-to-end encryption.,"Java, AES, RSA, Firebase",Cybersecurity,"Cryptography, Java Programming, Mobile Development",Intermediate,"Java programming, Encryption techniques, Mobile app basics",Application Development,4 months,"Secure Messaging, Encryption, Privacy",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Secure+Chat+Application&btnG=,https://github.com/AhmedIssa11/Real-Time-Secure-Chat-Application.git,4.4/5
P082,Firewall Implementation,Design and implement a firewall to protect a network from unauthorized access.,"Linux, iptables, Python, Wireshark",Cybersecurity,"Networking, Linux, Python",Intermediate,"Network protocols, Linux basics, Security concepts",Infrastructure,5 months,"Firewall, Network Security, Access Control",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Firewall+Implementation&btnG=,https://github.com/tharaka27/firewall.git,4.3/5
P083,Malware Analysis,Analyze malware samples to understand their behavior and develop countermeasures.,"Python, IDA Pro, OllyDbg, Cuckoo Sandbox",Cybersecurity,"Reverse Engineering, Malware Analysis, Python",Advanced,"Malware analysis basics, Python programming, Reverse engineering",Research,7 months,"Malware, Reverse Engineering, Security",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Malware+Analysis&btnG=,https://github.com/rshipp/awesome-malware-analysis.git,4.7/5
P084,Password Cracking Tool,Develop a tool to test the strength of passwords using brute force and dictionary attacks.,"C++, Hashcat, John the Ripper, OpenSSL",Cybersecurity,"Password Security, C++ Programming, Cryptography",Intermediate,"Password security concepts, C++ basics, Cryptography",Tool Development,4 months,"Password Security, Cracking, Cryptography",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Password+Cracking+Tool&btnG=,https://github.com/n0kovo/awesome-password-cracking.git,4.2/5
P085,Web Application Security Scanner,Create a scanner to identify vulnerabilities in web applications.,"JavaScript, OWASP ZAP, Burp Suite, Node.js",Cybersecurity,"Web Security, JavaScript, Vulnerability Assessment",Advanced,"Web development basics, Security testing, JavaScript",Tool Development,6 months,"Web Security, Vulnerability, Scanning",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Web+Application+Security+Scanner&btnG=,https://github.com/psiinon/open-source-web-scanners.git,4.8/5
P086,Data Encryption Software,Develop software to encrypt and decrypt files using advanced algorithms.,"C#, AES, RSA, .NET",Cybersecurity,"Cryptography, C# Programming, Software Development",Intermediate,"Encryption algorithms, C# basics, Software development",Application Development,5 months,"Data Encryption, Security, Privacy",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Data+Encryption+Software&btnG=,https://github.com/HACKERALERT/Picocrypt.git,4.5/5
P087,Network Traffic Monitoring,Monitor and analyze network traffic to detect anomalies.,"Wireshark, Python, TCPDump, Splunk",Cybersecurity,"Network Analysis, Python, Data Analysis",Intermediate,"Network protocols, Python basics, Data analysis",Research,4 months,"Network Monitoring, Anomaly Detection, Traffic Analysis",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=+Network+Traffic+Monitoring&btnG=,https://github.com/zhongyang219/TrafficMonitor/blob/master/README_en-us.md,4.6/5
P088,Social Engineering Awareness Program,Design a program to educate users about social engineering attacks.,"HTML, CSS, JavaScript, Bootstrap",Cybersecurity,"User Education, Web Development, Social Engineering",Intermediate,"Social engineering concepts, Web development basics, User training",Education,3 months,"Social Engineering, User Awareness, Education",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Social+Engineering+Awareness+Program&btnG=,https://github.com/giuliacassara/awesome-social-engineering.git,4.3/5
P089,Decentralized Voting System,Develop a secure voting system using blockchain to ensure transparency and immutability.,"Ethereum, Solidity, IPFS, Truffle",Blockchain,"Solidity, Smart Contracts, Cryptography",Intermediate,"Basic blockchain knowledge, Programming skills, Understanding of voting systems",Application Development,6 months,"Voting, Security, Decentralization",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Decentralized+Voting+System&btnG=,https://github.com/Krish-Depani/Decentralized-Voting-System.git,4.5
P090,Supply Chain Tracking,Create a blockchain solution to enhance transparency in supply chain logistics.,"Hyperledger Fabric, Node.js, Docker, Composer",Blockchain,"Hyperledger, Supply Chain Management, JavaScript",Intermediate,"Supply chain basics, Blockchain fundamentals, JavaScript",Application Development,5 months,"Supply Chain, Transparency, Logistics",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Supply+Chain+Tracking&btnG=,https://github.com/splunk/supply-chain-tracking.git,4.6
P091,Blockchain-based Identity Verification,Implement a system for decentralized identity verification.,"Ethereum, Solidity, Metamask, Web3.js",Blockchain,"Solidity, Identity Management, Web Development",Intermediate,"Blockchain basics, Web development, Identity management",Application Development,4 months,"Identity, Verification, Security",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Blockchain-based+Identity+Verification&btnG=,https://github.com/Kayleexx/Blockchain-based-identity-verification.git,4.4
P092,Smart Contract Development,Develop and deploy smart contracts for various use cases.,"Ethereum, Solidity, Remix, Ganache",Blockchain,"Solidity, Smart Contracts, Testing",Advanced,"Experience with Ethereum, Programming skills, Understanding of smart contracts",Tool Development,7 months,"Smart Contracts, Automation, Blockchain",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Smart+Contract+Development&btnG=,https://remix.ethereum.org/,4.7
P093,Decentralized Finance (DeFi) Platform,Build a DeFi platform for peer-to-peer lending and borrowing.,"Ethereum, Solidity, Uniswap, Chainlink",Blockchain,"Solidity, Financial Systems, JavaScript",Advanced,"Financial systems knowledge, Blockchain basics, JavaScript",Application Development,8 months,"DeFi, Finance, Lending",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Decentralized+Finance+%28DeFi%29+Platform&btnG=,https://github.com/sergio11/defiplex_blockchain.git,4.8
P094,Blockchain-based Certificate Verification,Create a system to verify academic certificates using blockchain.,"Ethereum, Solidity, IPFS, React",Blockchain,"Solidity, Web Development, Cryptography",Intermediate,"Blockchain basics, Web development, Understanding of certificates",Application Development,5 months,"Verification, Education, Security",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Blockchain-based+Certificate+Verification&btnG=,https://github.com/nikhildsahu/E-Certify.git,4.3
P095,Blockchain for Healthcare Records,Develop a secure system for managing healthcare records using blockchain.,"Hyperledger Fabric, Node.js, Docker, Composer",Blockchain,"Hyperledger, Healthcare Data, JavaScript",Intermediate,"Healthcare data management, Blockchain fundamentals, JavaScript",Application Development,6 months,"Healthcare, Data Security, Privacy",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Blockchain+for+Healthcare+Records&btnG=,https://github.com/SuyashMore/SwasthyaChain.git,4.5
P096,Tokenization of Assets,Implement a platform for tokenizing real-world assets on the blockchain.,"Ethereum, Solidity, OpenZeppelin, Truffle",Blockchain,"Solidity, Asset Management, JavaScript",Advanced,"Asset management basics, Blockchain fundamentals, JavaScript",Application Development,7 months,"Tokenization, Assets, Blockchain",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Tokenization+of+Assets&btnG=,https://github.com/MystenLabs/asset-tokenization.git,4.6
P097,Blockchain-based Energy Trading,Create a decentralized platform for peer-to-peer energy trading.,"Ethereum, Solidity, Web3.js, React",Blockchain,"Solidity, Energy Markets, Web Development",Intermediate,"Energy market knowledge, Blockchain basics, Web development",Application Development,6 months,"Energy, Trading, Decentralization",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Blockchain-based+Energy+Trading&btnG=,https://github.com/saurabh1002/energy-trading-blockchain.git,4.4
P098,Blockchain-based Charity Platform,Develop a transparent charity platform using blockchain to track donations.,"Ethereum, Solidity, IPFS, Truffle",Blockchain,"Solidity, Fundraising, JavaScript",Intermediate,"Charity operations, Blockchain basics, JavaScript",Application Development,5 months,"Charity, Transparency, Donations",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Blockchain-based+Charity+Platform&btnG=,https://github.com/harshagr18/CharityBlockchain.git,4.5
